,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured
49,Audi,A3,10.999,201.5,Manual,Petrol,Car Company,110,81,2015,3
50,Audi,R8,79.95,85.446,Manual,Petrol,Car Company,430,316,2011,6
51,BMW,125,20.2,85.19,Manual,Petrol,Car Company,218,160,2016,8
52,Audi,A4,13.95,140.217,Manual,Diesel,Car Company,136,100,2015,4
53,Renault,Trafic,39.9,7.0,Manual,Diesel,Car Company,150,110,2022,6
54,Bentley,Flying Spur,114.99,68.5,Automatic,Petrol,Car Company,528,388,2018,6
55,Porsche,718,117.718,974.0,Manual,Petrol,Car Company,420,309,2020,10
56,BMW,M2,62.0,8.351,Automatic,Petrol,Car Company,411,302,2020,3
57,Porsche,991,184.95,18.0,Manual,Petrol,Car Company,500,368,2018,3
58,Fiat,500 Abarth,15.99,31.022,Manual,Petrol,Car Company,179,132,2016,5
59,BMW,640,33.99,59.711,Automatic,Diesel,Car Company,313,230,2013,7
60,Audi,RS4,76.99,38.0,Automatic,Petrol,Car Company,450,331,2020,11
61,BMW,i4,103.9,6.001,Automatic,Electric,Car Company,544,400,2022,6
62,Mercedes-Benz,AMG GT,94.995,34.7,Automatic,Petrol,Car Company,367,270,2020,5
63,Land Rover,Defender,99.95,7.8,Automatic,Petrol,Car Company,400,294,2022,8
64,BMW,530,37.95,108.047,Automatic,Electric/Petrol,Car Company,184,135,2020,1
65,Audi,A3,12.95,135.0,Manual,Petrol,Car Company,160,118,2011,8
66,BMW,520,11.5,154.867,Manual,Diesel,Car Company,163,120,2010,11
67,Jeep,Wrangler,24.995,122.0,Manual,Diesel,Car Company,200,147,2011,1
68,Porsche,Panamera,35.99,104.345,Automatic,Diesel,Car Company,250,184,2011,7
69,Volkswagen,Golf Sportsvan,18.95,61.507,Manual,Diesel,Car Company,150,110,2017,12
70,MINI,One,13.99,63.492,Manual,Petrol,Car Company,75,55,2018,2
71,Audi,TT,27.2,74.224,Manual,Diesel,Car Company,184,135,2016,8
72,Bentley,Continental,75.399,94.62,Automatic,Petrol,Car Company,507,373,2013,3
73,Porsche,911,154.95,17.262,Automatic,Petrol,Car Company,450,331,2021,1
74,Ford,Focus,21.89,27.219,Manual,Petrol,Car Company,250,184,2017,11
75,Hyundai,KONA,18.79,56.685,Automatic,Diesel,Car Company,136,100,2019,4
76,Audi,TT,25.9,47.26,Manual,Diesel,Car Company,184,135,2015,10
77,BMW,730,40.95,109.468,Automatic,Diesel,Car Company,265,195,2018,1
78,Porsche,911,95.0,16.0,Automatic,Petrol,Car Company,349,257,2016,1
79,BMW,X5,34.75,184.465,Automatic,Electric/Petrol,Car Company,245,180,2017,3
80,Lexus,IS F,32.999,72.0,Automatic,Petrol,Car Company,420,309,2008,5
81,Mercedes-Benz,GLE 500,49.995,36.56,Automatic,Electric/Petrol,Car Company,333,245,2017,6
82,Audi,TT RS,61.9,15.321,Automatic,Petrol,Car Company,400,294,2017,1
83,BMW,M3,69.995,43.5,Automatic,Petrol,Car Company,450,331,2016,11
84,Volkswagen,Polo GTI,28.97,1.242,Automatic,Petrol,Car Company,207,152,2022,8
85,Jaguar,F-Type,84.8,3.0,Automatic,Petrol,Car Company,300,221,2022,9
86,Volkswagen,Tiguan,20.99,33.809,Automatic,Electric/Petrol,Car Company,150,110,2015,6
87,Jaguar,F-Type,61.46,0.0,Automatic,Petrol,Car Company,300,221,2022,1
88,Mercedes-Benz,S 300,39.99,181.85,Automatic,Electric/Diesel,Car Company,204,150,2014,10
89,Mercedes-Benz,SLK 250,19.95,143.759,Automatic,Diesel,Car Company,204,150,2012,9
90,Audi,A7,30.99,130.833,Automatic,Diesel,Car Company,272,200,2016,11
91,Ford,Mustang,39.995,22.67,Automatic,Petrol,Car Company,290,213,2018,6
92,Mercedes-Benz,CLS 400,57.95,73.0,Automatic,Diesel,Car Company,340,250,2018,11
93,Mercedes-Benz,GLC 220,36.99,116.5,Automatic,Diesel,Car Company,163,120,2019,1
94,MINI,Cooper D Clubman,8.95,119.0,Manual,Diesel,Car Company,111,82,2011,9
95,Mercedes-Benz,GLC 350,41.999,109.0,Automatic,Electric/Petrol,Car Company,211,155,2017,3
96,BMW,218,19.99,105.0,Automatic,Diesel,Car Company,136,100,2018,7
97,Audi,RS Q3,69.9,21.0,Automatic,Petrol,Car Company,400,294,2021,1
98,Audi,RS4,69.9,41.657,Automatic,Petrol,Car Company,450,331,2019,8
99,Jaguar,F-Pace,97.5,5.0,Automatic,Petrol,Car Company,551,405,2022,7
100,Alfa Romeo,Stelvio,26.45,117.908,Automatic,Diesel,Car Company,150,110,2018,8
101,Audi,RS6,149.5,19.0,Automatic,Petrol,Car Company,600,441,2022,1
102,Mercedes-Benz,GLE 350,79.99,66.724,Automatic,Electric/Diesel,Car Company,320,235,2021,6
103,Land Rover,Discovery Sport,35.95,93.5,Automatic,Electric/Diesel,Car Company,179,132,2020,9
104,Bentley,Continental,109.9,46.242,Automatic,Petrol,Car Company,528,388,2017,6
105,Audi,A4 allroad,22.99,67.874,Manual,Diesel,Car Company,150,110,2016,2
106,Citroen,C4,12.49,64.362,Manual,Petrol,Car Company,131,96,2017,4
