,name,model,price,kilometers,transmission,manufactured_date,fuel_type,power,seller
221,Mercedes-Benz ,GLE 500,€ 49.995,36.560 km,Automatisch,06/2017,Benzine,245 kW (333 PK),Autobedrijf
222,Mercedes-Benz ,A 200,€ 45.490,10 km,Automatisch,,Benzine,120 kW (163 PK),Autobedrijf
223,Porsche ,911,€ 195.900,9.226 km,Automatisch,03/2022,Benzine,353 kW (480 PK),Autobedrijf
224,Toyota ,Yaris,€ 44.990,1.955 km,Manueel,,Benzine,192 kW (261 PK),Autobedrijf
225,BMW ,2002,€ 141.950,12.900 km,Manueel,05/1974,Benzine,125 kW (170 PK),Autobedrijf
226,BMW ,318,€ 22.490,53.324 km,Manueel,01/2017,Diesel,110 kW (150 PK),Autobedrijf
227,BMW ,125,€ 18.500,104.874 km,Automatisch,09/2015,Benzine,160 kW (218 PK),Autobedrijf
228,Alfa Romeo ,Giulietta,€ 13.900,52.439 km,Manueel,01/2017,Benzine,88 kW (120 PK),Autobedrijf
229,Renault ,Arkana,€ 31.900,1.377 km,Automatisch,11/2021,Elektrisch/Benzine,69 kW (94 PK),Autobedrijf
230,Mazda ,CX-60,€ 56.890,,Automatisch,,Benzine,241 kW (328 PK),Autobedrijf
231,BMW ,850,€ 73.900,40.721 km,Automatisch,07/2019,Benzine,390 kW (530 PK),Autobedrijf
232,Volkswagen ,Golf GTI,€ 18.900,104.722 km,Manueel,09/2016,Benzine,169 kW (230 PK),Autobedrijf
233,BMW ,M850,€ 77.900,35.000 km,Automatisch,03/2019,Benzine,390 kW (530 PK),Autobedrijf
234,Mercedes-Benz ,S 400,€ 62.990,29.000 km,Automatisch,09/2016,Benzine,270 kW (367 PK),Autobedrijf
235,BMW ,M8,€ 107.750,15.164 km,Automatisch,05/2021,Benzine,442 kW (601 PK),Autobedrijf
236,Volkswagen ,Polo,€ 7.950,75.736 km,Manueel,04/2014,Benzine,44 kW (60 PK),Autobedrijf
237,Opel ,Grandland X,,103.255 km,Manueel,01/2018,Diesel,88 kW (120 PK),Autobedrijf
238,Volkswagen ,Golf,€ 37.250,12.142 km,Automatisch,02/2020,Benzine,180 kW (245 PK),Autobedrijf
239,Mercedes-Benz ,E 200,€ 13.490,117.669 km,Automatisch,05/2010,Diesel,100 kW (136 PK),Autobedrijf
240,Volkswagen ,e-Golf,€ 23.850,106.157 km,Automatisch,04/2018,Elektrisch,100 kW (136 PK),Autobedrijf
241,Abarth ,595C,€ 27.385,1.000 km,Manueel,07/2022,Benzine,121 kW (165 PK),Autobedrijf
242,Audi ,S4,€ 46.990,28.380 km,Automatisch,07/2017,Benzine,260 kW (354 PK),Autobedrijf
243,Audi ,Q2,€ 21.990,55.000 km,Manueel,05/2018,Benzine,110 kW (150 PK),Autobedrijf
244,Volkswagen ,Golf,€ 12.990,97.198 km,Manueel,02/2017,Benzine,63 kW (86 PK),Autobedrijf
245,BMW ,435,€ 29.950,87.974 km,Automatisch,10/2014,Diesel,230 kW (313 PK),Autobedrijf
246,BMW ,X3,€ 37.495,79.500 km,Automatisch,07/2018,Diesel,195 kW (265 PK),Autobedrijf
247,Mercedes-Benz ,C 220,€ 13.400,94.281 km,Manueel,05/2014,Diesel,120 kW (163 PK),Autobedrijf
248,BMW ,M3,€ 47.990,145.000 km,Automatisch,12/2014,Benzine,317 kW (431 PK),Autobedrijf
249,BMW ,Z3,€ 7.390,188.070 km,Manueel,07/1997,Benzine,85 kW (116 PK),Autobedrijf
250,Mercedes-Benz ,SLC 180,€ 33.990,52.514 km,Automatisch,04/2017,Benzine,115 kW (156 PK),Autobedrijf
251,Kia ,Stonic,€ 13.450,90.769 km,Manueel,11/2018,Benzine,74 kW (101 PK),Autobedrijf
252,Audi ,Q2,€ 24.950,57.548 km,Automatisch,04/2019,Benzine,110 kW (150 PK),Autobedrijf
253,Porsche ,Panamera,€ 46.950,85.000 km,Automatisch,11/2014,Benzine,245 kW (333 PK),Autobedrijf
254,BMW ,Z4,€ 9.999,193.575 km,Automatisch,01/2005,Benzine,170 kW (231 PK),Autobedrijf
255,BMW ,418,€ 22.290,89.335 km,Automatisch,02/2017,Diesel,110 kW (150 PK),Autobedrijf
256,BMW ,630,€ 40.990,78.077 km,Automatisch,10/2018,Diesel,195 kW (265 PK),Autobedrijf
257,Alfa Romeo ,Giulietta,€ 15.500,100.243 km,Automatisch,11/2015,Benzine,177 kW (241 PK),Autobedrijf
258,Ford ,F 150,€ 42.900,115.000 km,Automatisch,01/2016,LPG,272 kW (370 PK),Autobedrijf
259,Mercedes-Benz ,A 35 AMG,€ 65.500,5 km,Automatisch,,Benzine,225 kW (306 PK),Autobedrijf
260,BMW ,X3 M,€ 48.450,59.000 km,Automatisch,06/2018,Benzine,265 kW (360 PK),Autobedrijf
261,Mercedes-Benz ,GLC 220,€ 32.750,118.326 km,Automatisch,07/2017,Diesel,120 kW (163 PK),Autobedrijf
262,Porsche ,991,€ 184.995,22.173 km,Manueel,05/2018,Benzine,368 kW (500 PK),Autobedrijf
263,Land Rover ,Range Rover Velar,€ 87.500,1.600 km,Automatisch,12/2021,Elektrisch/Benzine,297 kW (404 PK),Autobedrijf
264,BMW ,X2,€ 25.990,65.000 km,Automatisch,06/2018,Diesel,110 kW (150 PK),Autobedrijf
265,Audi ,R8,€ 134.950,14.890 km,Automatisch,06/2018,Benzine,397 kW (540 PK),Autobedrijf
266,BMW ,530,€ 34.100,93.993 km,Automatisch,10/2018,Elektrisch/Benzine,,Autobedrijf
267,MINI ,One,€ 17.290,36.144 km,Manueel,01/2019,Benzine,75 kW (102 PK),Autobedrijf
268,Jaguar ,F-Type,€ 77.990,0 km,Automatisch,01/2022,Benzine,221 kW (300 PK),Autobedrijf
269,Mercedes-Benz ,CLS 350,€ 44.950,116.500 km,Automatisch,11/2018,Diesel,210 kW (286 PK),Autobedrijf
270,MINI ,Cooper,€ 15.490,68.000 km,Manueel,01/2017,Benzine,100 kW (136 PK),Autobedrijf
271,Jaguar ,XJ,€ 21.990,111.061 km,Automatisch,08/2011,Diesel,202 kW (275 PK),Autobedrijf
272,Mercedes-Benz ,C 250,€ 22.990,111.981 km,Automatisch,06/2015,Diesel,150 kW (204 PK),Autobedrijf
273,SsangYong ,MUSSO,€ 28.900,55.455 km,Automatisch,06/2020,Diesel,133 kW (181 PK),Autobedrijf
274,SsangYong ,XLV,€ 14.490,60.618 km,Manueel,01/2019,Benzine,94 kW (128 PK),Autobedrijf
275,Audi ,RS4,€ 69.900,57.000 km,Automatisch,05/2019,Benzine,331 kW (450 PK),Autobedrijf
276,Audi ,A3,€ 26.900,50.000 km,Automatisch,08/2019,Benzine,110 kW (150 PK),Autobedrijf
277,BMW ,125,€ 26.999,69.000 km,Automatisch,03/2019,Benzine,165 kW (224 PK),Autobedrijf
278,Mercedes-Benz ,E 220,€ 19.650,89.753 km,Manueel,07/2013,Diesel,125 kW (170 PK),Autobedrijf
279,BMW ,116,€ 15.990,118.111 km,Automatisch,01/2016,Diesel,85 kW (116 PK),Autobedrijf
280,Volvo ,960,€ 9.999,146.390 km,Automatisch,01/1997,Benzine,150 kW (204 PK),Autobedrijf
281,Audi ,A3,€ 34.950,13.353 km,Automatisch,01/2020,Benzine,140 kW (190 PK),Autobedrijf
282,Porsche ,992,€ 269.995,300 km,Automatisch,,Benzine,375 kW (510 PK),Autobedrijf
283,MINI ,Cooper S Cabrio,€ 28.900,33.656 km,Automatisch,04/2018,Benzine,141 kW (192 PK),Autobedrijf
284,Audi ,A4,€ 19.599,79.000 km,Manueel,06/2017,Diesel,90 kW (122 PK),Autobedrijf
285,Renault ,Megane,€ 8.995,81.105 km,Manueel,03/2011,Benzine,96 kW (131 PK),Autobedrijf
286,Audi ,A3,€ 19.500,85.830 km,Manueel,04/2019,Diesel,85 kW (116 PK),Autobedrijf
287,Renault ,Latitude,€ 9.490,123.000 km,Manueel,01/2013,Diesel,110 kW (150 PK),Autobedrijf
288,BMW ,220,€ 23.995,56.000 km,Manueel,10/2017,Diesel,140 kW (190 PK),Autobedrijf
289,Audi ,RS4,€ 64.900,102.000 km,Automatisch,05/2018,Benzine,331 kW (450 PK),Autobedrijf
290,Jaguar ,F-Type,€ 66.500,10 km,Automatisch,01/2022,Benzine,221 kW (300 PK),Autobedrijf
291,BMW ,225,€ 20.700,92.524 km,Automatisch,05/2017,Elektrisch/Benzine,165 kW (224 PK),Autobedrijf
292,Mercedes-Benz ,CLA 180,€ 15.750,139.000 km,Manueel,05/2016,Diesel,80 kW (109 PK),Autobedrijf
293,Mercedes-Benz ,E 300,€ 49.890,41.812 km,Automatisch,11/2019,Elektrisch/Diesel,143 kW (194 PK),Autobedrijf
294,BMW ,640,€ 36.950,102.630 km,Automatisch,05/2014,Diesel,230 kW (313 PK),Autobedrijf
295,SEAT ,Ateca,€ 18.990,93.121 km,Manueel,05/2018,Benzine,110 kW (150 PK),Autobedrijf
296,Audi ,A5,€ 18.100,139.195 km,Manueel,05/2015,Diesel,140 kW (190 PK),Autobedrijf
297,Land Rover ,Range Rover Sport,€ 179.000,3.000 km,Automatisch,04/2022,Benzine,423 kW (575 PK),Autobedrijf
298,Mercedes-Benz ,GLC 220,€ 28.500,155.890 km,Automatisch,07/2017,Diesel,125 kW (170 PK),Autobedrijf
299,Porsche ,911,€ 189.900,2.000 km,Automatisch,06/2022,Benzine,283 kW (385 PK),Autobedrijf
300,Mercedes-Benz ,GLC 220,€ 28.500,155.890 km,Automatisch,07/2017,Diesel,125 kW (170 PK),Autobedrijf
301,Audi ,SQ8,€ 99.950,73.000 km,Automatisch,05/2020,Diesel,320 kW (435 PK),Autobedrijf
302,Cupra ,Formentor,€ 48.900,58 km,Automatisch,05/2022,Elektrisch/Benzine,110 kW (150 PK),Autobedrijf
303,BMW ,Z4 M,€ 58.900,6.000 km,Automatisch,08/2021,Benzine,250 kW (340 PK),Autobedrijf
304,Mercedes-Benz ,GLA 180,€ 23.900,36.240 km,Manueel,02/2017,Diesel,80 kW (109 PK),Autobedrijf
305,Audi ,A4,€ 19.995,48.500 km,Manueel,09/2016,Diesel,90 kW (122 PK),Autobedrijf
306,Mercedes-Benz ,V 250,€ 46.990,82.005 km,Automatisch,08/2017,Diesel,140 kW (190 PK),Autobedrijf
307,Porsche ,718 Spyder,€ 119.718,10.850 km,Automatisch,05/2021,Benzine,309 kW (420 PK),Autobedrijf
308,Mercedes-Benz ,E 220,€ 34.900,125.000 km,Automatisch,10/2018,Diesel,120 kW (163 PK),Autobedrijf
309,BMW ,218,€ 25.750,83.988 km,Manueel,04/2019,Diesel,110 kW (150 PK),Autobedrijf
310,MINI ,Cooper,€ 31.500,22.213 km,Automatisch,07/2020,Elektrisch,135 kW (184 PK),Autobedrijf
