,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured,name_model,kilometers_bins
272,Audi,SQ8,99950,73000,Automatic,Diesel,Car Company,435,320,2020,5,Audi SQ8,L3
273,Cupra,Formentor,48900,58,Automatic,Electric/Petrol,Car Company,150,110,2022,5,Cupra Formentor,L1
274,BMW,Z4 M,58900,6000,Automatic,Petrol,Car Company,340,250,2021,8,BMW Z4 M,L1
275,Mercedes-Benz,GLA 180,23900,36240,Manual,Diesel,Car Company,109,80,2017,2,Mercedes-Benz GLA 180,L2
276,Audi,A4,19995,48500,Manual,Diesel,Car Company,122,90,2016,9,Audi A4,L2
277,Mercedes-Benz,V 250,46990,82005,Automatic,Diesel,Car Company,190,140,2017,8,Mercedes-Benz V 250,L3
278,Porsche,718 Spyder,119718,10850,Automatic,Petrol,Car Company,420,309,2021,5,Porsche 718 Spyder,L1
279,Mercedes-Benz,E 220,34900,125000,Automatic,Diesel,Car Company,163,120,2018,10,Mercedes-Benz E 220,L4
280,BMW,218,25750,83988,Manual,Diesel,Car Company,150,110,2019,4,BMW 218,L3
281,MINI,Cooper,31500,22213,Automatic,Electric,Car Company,184,135,2020,7,MINI Cooper,L1
282,Audi,A3,32900,22015,Automatic,Electric/Petrol,Car Company,204,150,2020,5,Audi A3,L1
283,BMW,118,28990,38664,Automatic,Diesel,Car Company,150,110,2020,12,BMW 118,L2
284,Kia,XCeed,24950,12656,Manual,Petrol,Car Company,140,103,2021,4,Kia XCeed,L1
285,BMW,530,57900,3058,Automatic,Electric/Petrol,Car Company,292,215,2021,12,BMW 530,L1
286,Mercedes-Benz,GLC 250,31990,128000,Automatic,Diesel,Car Company,204,150,2018,2,Mercedes-Benz GLC 250,L4
287,Land Rover,Discovery,42490,103068,Automatic,Diesel,Car Company,258,190,2017,4,Land Rover Discovery,L4
288,Jaguar,F-Pace,27500,174000,Automatic,Petrol,Car Company,340,250,2016,10,Jaguar F-Pace,L6
289,BMW,114,16490,95000,Manual,Diesel,Car Company,95,70,2018,4,BMW 114,L3
290,Porsche,911,184995,22173,Manual,Petrol,Car Company,500,368,2018,5,Porsche 911,L1
291,BMW,Z4 M,61450,8024,Automatic,Petrol,Car Company,340,250,2021,12,BMW Z4 M,L1
292,Mercedes-Benz,CLA 250,43900,32879,Automatic,Electric/Petrol,Car Company,218,160,2020,11,Mercedes-Benz CLA 250,L1
293,Mercedes-Benz,V 200,42990,134485,Automatic,Diesel,Car Company,136,100,2017,9,Mercedes-Benz V 200,L5
294,Audi,A3,29990,99000,Automatic,Diesel,Car Company,150,110,2016,7,Audi A3,L3
295,Volkswagen,Golf,27395,64800,Automatic,Petrol,Car Company,300,221,2016,2,Volkswagen Golf,L2
296,Volvo,XC90,38900,177930,Automatic,Electric/Petrol,Car Company,408,300,2016,5,Volvo XC90,L6
297,Tesla,Model Y,64500,13500,Automatic,Electric,Car Company,450,331,2022,1,Tesla Model Y,L1
298,BMW,116,29950,15290,Automatic,Petrol,Car Company,109,80,2021,1,BMW 116,L1
299,Volkswagen,Scirocco,20990,53000,Manual,Petrol,Car Company,265,195,2010,11,Volkswagen Scirocco,L2
300,Audi,SQ5,84950,20,Automatic,Diesel,Car Company,341,251,2022,5,Audi SQ5,L1
301,Mercedes-Benz,CLA 200,20990,99000,Automatic,Diesel,Car Company,136,100,2015,9,Mercedes-Benz CLA 200,L3
302,Mercedes-Benz,AMG GT,89990,68900,Automatic,Petrol,Car Company,367,270,2019,8,Mercedes-Benz AMG GT,L3
303,Land Rover,Discovery,88900,15,Automatic,Petrol,Car Company,360,265,2022,1,Land Rover Discovery,L1
304,Opel,Meriva,12450,15874,Manual,Petrol,Car Company,120,88,2017,8,Opel Meriva,L1
305,Volkswagen,Arteon,27490,69000,Manual,Diesel,Car Company,150,110,2020,5,Volkswagen Arteon,L3
306,Volkswagen,Tiguan,24990,29193,Manual,Petrol,Car Company,150,110,2017,6,Volkswagen Tiguan,L1
307,BMW,216,14990,103229,Manual,Diesel,Car Company,116,85,2017,9,BMW 216,L4
308,BMW,430,33800,42766,Manual,Petrol,Car Company,252,185,2018,2,BMW 430,L2
309,Bentley,Continental,250000,27359,Automatic,Petrol,Car Company,635,467,2019,6,Bentley Continental,L1
310,Volkswagen,Golf,12950,95239,Manual,Petrol,Car Company,105,77,2014,12,Volkswagen Golf,L3
311,Peugeot,308,20390,61504,Manual,Diesel,Car Company,131,96,2021,2,Peugeot 308,L2
312,BMW,545,79750,13895,Automatic,Electric/Petrol,Car Company,394,290,2021,10,BMW 545,L1
313,BMW,M5,178900,3300,Automatic,Petrol,Car Company,635,467,2022,7,BMW M5,L1
314,BMW,i8,114995,25311,Automatic,Electric/Petrol,Car Company,231,170,2019,4,BMW i8,L1
315,BMW,428,23700,115201,Automatic,Petrol,Car Company,245,180,2014,4,BMW 428,L4
316,Audi,A1,19990,82936,Manual,Petrol,Car Company,116,85,2019,3,Audi A1,L3
317,Porsche,Cayenne,89990,69613,Automatic,Petrol,Car Company,340,250,2019,11,Porsche Cayenne,L3
318,Lexus,IS 300,28795,51547,Automatic,Petrol,Car Company,324,238,2019,1,Lexus IS 300,L2
319,Toyota,C-HR,20490,53626,Automatic,Electric/Petrol,Car Company,98,72,2017,2,Toyota C-HR,L2
